mech data file
//messing with this without knowing what you're doing WILL blow up your game
//BACK UP BEFORE MODIFYING
{
  'id'      : 1,
  'abbr'    : MTK,
  'name'    : Matok,
  'size'    : 2,
  'tech'    : 2,
  'icon'    : gfx/ui/hgr_mtk.png,
  'energyMax'  : 800,
  'energyRate' : 5,
  'shieldMax'  : 425,
  'shieldRate' : 1.5,
  'hpoints' : 5,
  'fspeed'  : 150,
  'sspeed'  : 100,
  'bspeed'  : 90,
  'accel'   : 1.5,
  'hp_ct'   : 650,
  'hp_st'   : 600,
  'hp_am'   : 675,
  'hp_lg'   : 900,
  'radrng'  : 5000,
  
  //hardpoint info
  'hpt_types_1'  : 3,
  'hpt_types_2'  : 3,
  'hpt_types_3'  : 3,
  'hpt_types_4'  : 3,  
  'hpt_types_5'  : 135,
  
  'hpt_size_1'   : 1,
  'hpt_size_2'   : 1,
  'hpt_size_3'   : 2, 
  'hpt_size_4'   : 2, 
  'hpt_size_5'   : 3,
  
  //hardpoint ui data block
  'hpt_arm_1' : -57 -62 0,
  'hpt_arm_2' : 28 -62 0,
  'hpt_arm_3' : -100 -32 0,
  'hpt_arm_4' : 70 -32 0,
  'hpt_arm_5' : -12 -110 0,
  
  'hpt_hang_1'  : -40 -55 0,
  'hpt_hang_2'  : 28 -55 0,
  'hpt_hang_3'  : -76 -24 0,
  'hpt_hang_4'  : 66 -24 0,
  'hpt_hang_5'  : -5 -90 0,
  
  //stock loadout
  'hpt_stock_1'  : 1,
  'hpt_stock_2'  : 1,
  'hpt_stock_3'  : 3,
  'hpt_stock_4'  : 3,
  'hpt_stock_5'  : 8,
  
  //stock grouping
  'grps_stock_1' : 15,
  'grps_stock_2' : 16,
  'grps_stock_3' : 0,
  'grps_stock_4' : 0,
  'grps_stock_5' : 0,
  'desc'  : The MATOK was the second-generation combat mech that Federal Military churned out as the threat of AUTHOR was increasing. MATOKs are the main stay of Federal squadrons today, found in almost every  deployment and any combat. | | A dangerous generalist, the MATOK is design to engage targets head on with a slew of direct-fire power and large reactor recharge capacity. | | MATOK operators have to remember not to get surrounded though, the MATOK's defensive capabilities are not as strong as its defense. Its speed is also a problem against more agile targets.~
}
